SlNo,State,District,Confirmed,Active,Recovered,Deceased,Migrated_Other
0,Andhra Pradesh,Foreign Evacuees,434,15,419,0,0
4,Andhra Pradesh,Anantapur,5941,2606,3255,80,0
5,Andhra Pradesh,Chittoor,5323,3579,1685,59,0
6,Andhra Pradesh,East Godavari,7756,6380,1301,75,0
7,Andhra Pradesh,Guntur,6071,3133,2875,63,0
8,Andhra Pradesh,Krishna,4101,1611,2382,108,0
9,Andhra Pradesh,Kurnool,7119,3970,3019,130,0
0,Andhra Pradesh,Other State,2461,202,2259,0,0
10,Andhra Pradesh,Prakasam,2256,830,1387,39,0
11,Andhra Pradesh,S.P.S. Nellore,2683,1674,988,21,0
12,Andhra Pradesh,Srikakulam,2963,1880,1047,36,0
13,Andhra Pradesh,Visakhapatnam,2430,822,1557,51,0
14,Andhra Pradesh,Vizianagaram,1696,1289,388,19,0
15,Andhra Pradesh,West Godavari,4314,2748,1516,50,0
16,Andhra Pradesh,Y.S.R. Kadapa,3120,1597,1496,27,0
729,Andhra Pradesh,Unknown,0,0,0,0,0
