Date, States,Confirmed,Death,recovered,Newcases,Newdeaths,Newrecovered
6/1/2020,Andhra Pradesh,3679,62,2349,110,2,60
6/1/2020,Madhya Pradesh,8089,350,4842,198,7,398
6/1/2020,Maharashtra,67655,2286,29329,2487,89,1248
6/2/2020,Andhra Pradesh,3783,64,2378,104,2,29
6/2/2020,Madhya Pradesh,8283,358,5003,194,8,161
6/2/2020,Maharashtra,70013,2362,30108,2358,76,779
6/3/2020,Andhra Pradesh,3898,64,2421,115,0,43
6/3/2020,Madhya Pradesh,8420,364,5221,137,6,218
6/3/2020,Maharashtra,72300,2465,31333,2287,103,1225
6/4/2020,Andhra Pradesh,4080,68,2466,182,4,45
6/4/2020,Madhya Pradesh,8588,371,5445,168,7,224
6/4/2020,Maharashtra,74860,2587,32329,2560,122,996
6/5/2020,Andhra Pradesh,4223,71,2539,143,3,73
6/5/2020,Madhya Pradesh,8762,377,5637,174,6,192
6/5/2020,Maharashtra,77793,2710,33681,2933,123,1352
6/6/2020,Andhra Pradesh,4303,73,2576,80,2,37
6/6/2020,Madhya Pradesh,8996,384,5878,234,7,241
6/6/2020,Maharashtra,80229,2849,35156,2436,139,1475
6/7/2020,Andhra Pradesh,4510,73,2620,207,0,44
6/7/2020,Madhya Pradesh,9228,399,6108,232,15,230
6/7/2020,Maharashtra,82968,2969,37390,2739,120,2234
6/8/2020,Andhra Pradesh,4708,75,2682,198,2,62
6/8/2020,Madhya Pradesh,9401,412,6331,173,13,223
6/8/2020,Maharashtra,85975,3060,39314,3007,91,1924
6/9/2020,Andhra Pradesh,4851,75,2745,143,0,63
6/9/2020,Madhya Pradesh,9638,414,6536,237,2,205
6/9/2020,Maharashtra,88528,3169,40975,2553,109,1661
6/10/2020,Andhra Pradesh,5070,77,2802,219,2,57
6/10/2020,Madhya Pradesh,9849,420,6729,211,6,193
6/10/2020,Maharashtra,90787,3289,42638,2259,120,1663
6/11/2020,Andhra Pradesh,5269,78,2899,199,1,97
6/11/2020,Madhya Pradesh,10049,427,6892,200,7,163
6/11/2020,Maharashtra,94041,3438,44517,3254,149,1879
6/12/2020,Andhra Pradesh,5429,80,3048,160,2,149
6/12/2020,Madhya Pradesh,10241,431,7042,192,4,150
6/12/2020,Maharashtra,97648,3590,46078,3607,152,1561
6/13/2020,Andhra Pradesh,5680,80,3105,251,0,57
6/13/2020,Madhya Pradesh,10443,440,7201,202,9,159
6/13/2020,Maharashtra,101141,3717,47796,3493,127,1718
6/14/2020,Andhra Pradesh,5965,82,3195,285,2,90
6/14/2020,Madhya Pradesh,10641,447,7377,198,7,176
6/14/2020,Maharashtra,104568,3830,49346,3427,113,1550
6/15/2020,Andhra Pradesh,6163,84,3314,198,2,119
6/15/2020,Madhya Pradesh,10802,459,7677,161,12,300
6/15/2020,Maharashtra,107958,3950,50978,3390,120,1632
6/16/2020,Andhra Pradesh,6456,88,3316,293,4,2
6/16/2020,Madhya Pradesh,10935,465,7903,133,6,226
6/16/2020,Maharashtra,110744,4128,56049,2786,178,5071
6/17/2020,Andhra Pradesh,6841,88,3509,385,0,193
6/17/2020,Madhya Pradesh,11083,476,8152,148,11,249
6/17/2020,Maharashtra,113445,5537,57851,2701,1409,1802
6/18/2020,Andhra Pradesh,7071,90,3641,230,2,132
6/18/2020,Madhya Pradesh,11244,482,8388,161,6,236
6/18/2020,Maharashtra,116752,5651,59166,3307,114,1315
6/19/2020,Andhra Pradesh,7518,92,3789,447,2,148
6/19/2020,Madhya Pradesh,11426,486,8632,182,4,244
6/19/2020,Maharashtra,120504,5751,60838,3752,100,1672
6/20/2020,Andhra Pradesh,7961,96,3917,443,4,128
6/20/2020,Madhya Pradesh,11582,495,8748,156,9,116
6/20/2020,Maharashtra,124331,5893,62773,3827,142,1935
6/21/2020,Andhra Pradesh,8452,101,4111,491,5,194
6/21/2020,Madhya Pradesh,11724,501,8880,142,6,132
6/21/2020,Maharashtra,128205,5984,64153,3874,91,1380
6/22/2020,Andhra Pradesh,8999,106,4331,547,5,220
6/22/2020,Madhya Pradesh,11903,515,9015,179,14,135
6/22/2020,Maharashtra,132075,6170,65744,3870,186,1591
6/23/2020,Andhra Pradesh,9372,111,4495,373,5,164
6/23/2020,Madhya Pradesh,12078,521,9215,175,6,200
6/23/2020,Maharashtra,135796,6283,67706,3721,113,1962
6/24/2020,Andhra Pradesh,10002,119,4599,630,8,104
6/24/2020,Madhya Pradesh,12261,525,9335,183,4,120
6/24/2020,Maharashtra,139010,6531,69631,3214,248,1925
6/25/2020,Andhra Pradesh,10331,124,4779,329,5,180
6/25/2020,Madhya Pradesh,12448,534,9473,187,9,138
6/25/2020,Maharashtra,142900,6739,73792,3890,208,4161
6/27/2020,Andhra Pradesh,11489,148,5196,1158,24,417
6/27/2020,Madhya Pradesh,12798,546,9804,350,12,331
6/27/2020,Maharashtra,152765,7106,79815,9865,367,6023
6/28/2020,Andhra Pradesh,12285,157,5480,796,9,284
6/28/2020,Madhya Pradesh,12965,550,9971,167,4,167
6/28/2020,Maharashtra,159133,7273,84245,6368,167,4430
6/29/2020,Andhra Pradesh,13241,169,5908,956,12,428
6/29/2020,Madhya Pradesh,13186,557,10084,221,7,113
6/29/2020,Maharashtra,164626,7429,86575,5493,156,2330
6/30/2020,Andhra Pradesh,13891,180,6232,650,11,324
6/30/2020,Madhya Pradesh,13370,564,10199,184,7,115
6/30/2020,Maharashtra,169883,7610,88960,5257,181,2385
